State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total minutes,Total calls,Total charge,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
NM,68,408,0,0,0,131.6,89,22.37,137.0,109,11.65,256.3,107,11.53,10.2,5,2.75,3,0,535.1000000000001,310,48.300000000000004,4,6,4,4,7,4,7,6,7,6,6,5,6,4,3
VT,159,415,0,0,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,1,696.6,309,75.08,8,7,8,6,7,6,6,5,6,4,4,7,6,8,7
AZ,134,415,0,1,40,142.9,105,24.29,88.6,61,7.53,290.0,96,13.05,10.8,6,2.92,1,0,532.3,268,47.790000000000006,5,7,5,3,4,3,8,5,8,6,6,5,4,4,6
VT,113,510,0,0,0,207.2,113,35.22,256.0,80,21.76,211.0,87,9.49,9.9,1,2.67,1,0,684.1,281,69.14,6,7,6,8,5,8,6,4,6,5,5,7,4,7,5
MO,132,408,0,0,0,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,0,623.8,346,64.58,6,7,6,6,7,6,5,7,5,6,6,6,7,6,6
NJ,93,510,1,1,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,1,552.5,371,61.01,7,8,7,4,8,4,5,7,5,7,7,5,8,6,4
WA,174,408,0,1,33,167.8,91,28.53,205.3,91,17.45,130.0,132,5.85,14.5,4,3.92,4,1,517.6,318,55.75000000000001,5,6,5,6,6,6,3,7,3,8,8,4,6,5,8
NY,61,415,0,0,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,0,577.9,310,58.39,6,8,6,5,6,5,6,5,6,4,4,5,6,5,3
DC,91,415,0,1,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,0,390.29999999999995,317,43.85,5,7,5,2,7,2,4,5,4,6,6,2,6,3,4
NE,88,408,0,1,28,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,0,649.3,326,64.74000000000001,6,7,6,7,7,7,6,6,6,5,5,7,6,6,4
MA,88,408,0,1,45,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,0,555.5999999999999,367,44.050000000000004,3,9,3,5,6,5,8,7,8,7,7,5,8,3,4
NM,182,415,0,0,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,0,562.5999999999999,323,44.63999999999999,2,7,2,7,7,7,7,5,7,4,4,5,6,3,8
CO,118,408,0,0,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,0,634.5000000000001,231,62.69,6,4,6,6,4,6,6,5,6,5,5,6,2,6,5
NH,103,408,0,0,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,1,551.3,363,52.730000000000004,5,8,5,5,8,5,6,5,6,6,6,5,8,5,5
IL,65,510,0,0,0,192.0,89,32.64,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2,0,524.4,283,54.42,6,6,6,4,6,4,5,5,5,3,3,4,5,5,3
UT,61,408,0,1,25,163.7,78,27.83,113.2,112,9.62,134.1,118,6.03,9.9,3,2.67,3,0,420.9,311,46.15,5,5,5,4,7,4,3,6,3,5,5,3,6,4,3
WV,172,415,0,0,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1,0,718.5999999999999,346,68.22000000000001,7,7,7,6,6,6,8,8,8,4,4,8,7,7,8
NJ,72,415,0,0,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,0,562.5,322,55.21,6,7,6,4,8,4,6,5,6,6,6,5,6,5,3
NM,113,510,0,0,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12.0,11.0,3,2.97,2,0,627.9,313,57.5,5,8,5,6,5,6,7,6,7,6,6,6,6,5,5
NM,67,415,0,0,0,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1,0,629.3000000000001,309,64.82,7,7,7,6,6,6,6,6,6,5,5,6,6,6,3
DE,136,415,0,0,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,9.4,6,2.54,3,0,450.09999999999997,329,43.2,3,7,3,6,6,6,4,7,4,5,5,3,7,3,6
GA,71,415,0,0,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,0,577.3000000000001,346,65.54,8,8,8,4,7,4,5,4,5,5,5,5,7,6,3
HI,134,408,0,0,0,242.4,126,41.21,152.9,115,13.0,318.3,115,14.32,11.8,6,3.19,1,0,725.4,362,71.72,7,8,7,5,7,5,8,6,8,6,6,8,8,7,6
NJ,84,415,0,0,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,0,645.1999999999999,351,62.919999999999995,6,7,6,6,9,6,7,5,7,5,5,7,8,6,4
ME,39,408,0,0,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,0,564.3,312,55.04,5,7,5,6,7,6,5,5,5,5,5,5,6,5,2
OK,110,510,0,0,0,188.0,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,0,444.1,312,50.54,6,8,6,3,7,3,4,3,4,8,8,3,6,4,5
TN,102,510,0,0,0,103.1,70,17.53,275.0,129,23.38,141.1,92,6.35,11.2,5,3.02,1,0,530.4000000000001,296,50.28,3,5,3,8,8,8,4,5,4,6,6,5,5,4,5
WY,70,415,0,0,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,0,607.1,360,58.24,6,8,5,5,8,5,7,5,7,6,6,6,8,5,3
NY,142,415,0,0,0,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1,0,579.4,288,55.059999999999995,5,6,5,6,6,6,6,5,6,6,6,5,5,5,6
RI,17,415,0,0,0,161.5,123,27.46,214.2,81,18.21,315.0,106,14.18,8.6,5,2.32,1,0,699.3000000000001,315,62.17,5,8,5,6,5,6,8,6,8,5,5,7,6,6,1
PA,119,408,0,0,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10.0,2,2.7,1,1,755.7,260,79.03,8,7,8,8,4,8,6,4,6,5,5,8,4,8,5
MD,108,415,1,1,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,1,555.4,303,51.0,4,6,4,5,8,5,6,4,6,7,7,5,5,4,5
VA,90,415,0,0,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,0,415.29999999999995,360,38.54,3,8,3,4,8,4,5,6,5,6,6,3,8,3,4
IN,100,415,0,1,33,218.7,104,37.18,155.0,144,13.18,99.0,117,4.46,12.1,4,3.27,1,0,484.8,369,58.09,7,7,7,5,9,5,3,6,3,7,7,4,8,5,5
OR,155,408,0,1,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,0,578.0999999999999,268,51.150000000000006,4,6,4,6,6,6,7,4,7,4,4,5,4,4,7
AZ,113,510,0,0,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,1,543.1,306,51.669999999999995,4,7,4,7,4,7,5,8,5,5,5,5,6,4,5
WI,123,415,0,0,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,0,593.8,273,56.7,5,6,5,5,5,5,7,5,7,5,5,6,4,5,6
VA,145,408,0,0,0,199.2,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,2.05,1,0,622.0,348,59.629999999999995,6,8,6,4,6,4,8,8,8,4,4,6,7,6,6
MO,42,415,0,0,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,0,673.0,285,63.35,6,6,6,6,6,6,7,5,7,5,5,7,5,6,2
NV,125,510,0,0,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,0,598.4,305,57.480000000000004,5,6,5,5,7,5,6,5,6,6,6,6,6,5,6
HI,131,415,0,1,30,174.0,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,0,604.2,292,58.660000000000004,5,8,5,6,5,6,6,5,6,4,4,6,5,5,6
WA,107,415,0,0,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,0,603.5999999999999,236,68.17999999999999,7,4,7,8,5,8,3,4,3,5,5,6,2,7,5
IL,48,408,0,0,0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,0,552.5,266,58.9,6,5,6,6,7,6,4,3,4,3,3,5,4,5,2
IL,76,510,0,0,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,0,636.3,300,62.17,6,6,6,6,6,6,6,5,6,4,4,6,5,6,4
LA,128,415,0,0,0,148.5,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1,0,653.5,327,59.230000000000004,5,7,5,7,7,7,7,6,7,4,4,7,7,5,6
WI,73,415,0,0,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10.0,8,2.7,0,0,617.4,291,60.43000000000001,5,7,5,8,5,8,5,5,5,5,5,6,5,6,3
TX,52,415,0,0,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,1,471.5,302,47.5,5,7,5,4,7,4,5,4,5,4,4,4,5,4,3
NC,124,415,0,0,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1,0,594.8000000000001,333,58.989999999999995,6,5,6,6,8,6,6,7,6,4,4,6,7,5,6
WA,137,408,0,0,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,0,666.8000000000001,355,67.62,6,8,6,7,6,7,6,7,6,6,6,7,8,7,6
MS,107,510,0,1,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,0,578.3000000000001,257,62.0,6,6,6,6,6,6,4,4,4,7,7,5,3,6,5
KY,147,408,0,0,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,0,583.3,285,63.31,7,5,7,6,6,6,4,6,4,6,6,5,5,6,7
RI,116,510,0,0,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,0,400.09999999999997,286,42.77,4,8,4,4,6,4,3,3,3,7,7,2,5,3,5
NY,60,510,0,1,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,0,672.9,275,67.85,6,5,6,8,8,8,5,3,5,7,7,7,4,7,3
TX,38,510,0,0,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,0,375.4,274,40.61,5,6,5,2,5,2,4,5,4,7,7,2,4,3,2
DE,63,408,0,0,0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3.0,3,0,540.0,296,51.42999999999999,4,8,4,7,6,7,4,4,4,6,6,5,5,4,3
NM,94,415,0,0,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,0,612.4,326,53.07000000000001,4,5,4,7,9,7,7,5,7,6,6,6,6,5,4
RI,131,415,0,0,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,0,465.0,359,45.279999999999994,4,9,4,6,7,6,4,6,4,6,6,4,8,4,6
MS,158,510,0,0,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,0,563.5,297,57.349999999999994,6,7,6,6,6,6,5,5,5,6,6,5,5,5,7
NY,139,510,0,0,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1,1,629.9,336,67.21,7,7,7,5,7,5,6,6,6,6,6,6,7,7,6
WI,140,415,0,0,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,0,557.3,312,53.24,4,5,4,7,6,7,5,7,5,5,5,5,6,5,6
SD,52,510,0,1,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,0,603.8,295,54.24,4,4,4,6,8,6,7,6,7,7,7,6,5,5,3
VA,103,510,0,0,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13.0,3,3.51,5,0,601.9000000000001,320,59.51,5,8,5,6,8,6,5,3,5,7,7,6,6,5,5
CO,85,510,0,1,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0,678.6999999999999,299,76.94000000000001,9,7,9,7,7,7,4,4,4,4,4,7,5,8,4
WA,71,408,0,0,0,141.2,132,24.0,149.1,90,12.67,171.4,72,7.71,7.0,2,1.89,2,0,468.69999999999993,296,46.27,5,8,5,5,6,5,4,3,4,4,4,4,5,4,3
NV,177,415,0,1,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,0,652.0999999999999,294,68.30000000000001,7,7,7,6,5,6,6,6,6,6,6,7,5,7,8
SC,49,415,1,0,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,1,630.1,303,69.94999999999999,7,6,7,6,7,6,4,4,4,8,8,6,5,7,2
RI,106,510,1,0,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3,1,549.8,250,59.97,6,6,6,5,4,5,4,5,4,7,7,5,3,6,5
ID,60,510,0,0,0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2.0,1,0,609.8,247,63.89,7,7,7,5,3,5,5,5,5,4,4,6,3,6,3
KY,43,408,0,0,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,0,646.6,299,59.800000000000004,6,6,6,4,4,4,8,8,8,7,7,7,5,6,2
SD,125,415,0,0,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,0,628.0,257,62.5,5,5,5,8,5,8,5,5,5,8,8,6,3,6,6
SC,114,510,0,1,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,0,604.8000000000001,272,56.209999999999994,5,6,5,7,6,7,6,4,6,5,5,6,4,5,5
TN,112,415,0,0,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,1,674.1,312,77.13999999999999,8,8,8,7,6,7,4,5,4,9,9,7,6,8,5
MT,101,408,0,1,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,0,535.5000000000001,325,49.93000000000001,4,7,4,7,6,7,5,6,5,5,5,5,6,4,5
WI,70,415,0,0,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,0,313.0,273,23.25,1,7,1,4,5,4,4,4,4,7,7,1,4,1,3
AK,59,408,0,0,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,0,475.49999999999994,329,50.32,5,6,5,5,8,5,4,6,4,6,6,4,7,4,3
AZ,59,408,0,0,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,0,560.5,298,54.14000000000001,5,5,5,6,6,6,6,7,6,7,7,5,5,5,3
DE,99,415,0,0,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,0,593.9,315,55.550000000000004,5,6,5,6,6,6,6,7,6,7,7,6,6,5,5
VA,150,510,0,0,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,0,578.0,316,58.66,5,8,5,6,5,6,5,6,5,7,7,5,6,5,7
MA,81,510,0,0,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,0,560.8000000000001,267,60.489999999999995,7,5,7,5,6,5,5,5,5,4,4,5,4,6,4
IN,86,510,0,0,0,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,0,701.1,286,70.26,7,6,7,8,5,8,6,6,6,3,3,7,5,7,4
MD,84,510,0,0,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,0,435.90000000000003,267,49.5,5,6,5,5,6,5,3,3,3,6,6,3,4,4,4
NV,118,510,0,1,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,0,741.6000000000001,341,78.37,8,8,8,8,6,8,6,7,6,6,6,8,7,8,5
CO,89,415,0,0,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,0,672.4,343,66.42,6,8,6,9,6,9,5,7,5,4,4,7,7,6,4
KS,93,415,0,0,0,266.0,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,0,575.0000000000001,273,67.28,8,8,8,4,5,4,4,3,4,7,7,5,4,7,4
AR,85,415,0,0,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,0,471.9,283,43.26,3,6,3,6,6,6,4,4,4,5,5,4,5,3,4
WY,160,408,0,0,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,0,447.2,274,40.69,3,8,3,6,6,6,4,2,4,6,6,3,4,3,7
PA,28,415,0,0,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,0,532.4,294,53.71999999999999,5,6,5,5,6,5,5,6,5,6,6,5,5,5,2
TX,73,408,0,0,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,1,689.5,342,76.36999999999999,9,7,9,5,4,5,6,9,6,6,6,7,7,8,3
NY,156,408,0,0,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,0,631.9999999999999,333,60.58999999999999,5,6,5,6,8,6,7,6,7,7,7,6,7,6,7
OR,33,415,1,0,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,0,555.1999999999999,346,58.199999999999996,6,7,6,5,7,5,5,8,5,7,7,5,7,5,2
CA,77,510,0,0,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,0,643.5999999999999,267,63.11,6,6,6,6,5,6,6,5,6,9,9,6,4,6,4
NY,119,415,0,0,0,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,11.1,7,3.0,1,0,546.0,283,51.93,4,7,4,6,5,6,5,5,5,6,6,5,5,4,5
AR,91,510,0,1,27,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,0,557.7,273,57.59,6,6,6,4,6,4,6,4,6,4,4,5,4,5,4
MI,102,510,0,0,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,0,670.1,304,71.14,7,6,7,7,6,7,5,7,5,4,4,7,6,7,5
OK,86,415,0,1,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,0,570.1,308,68.36999999999999,8,7,8,6,6,6,2,5,2,6,6,5,6,7,4
TX,82,415,0,0,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,0,502.3,307,48.13,4,7,4,6,6,6,5,6,5,5,5,4,6,4,4
NC,89,408,0,0,0,105.9,151,18.0,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,0,479.09999999999997,367,45.24,4,10,4,6,9,6,4,3,4,7,7,4,8,4,4
ID,86,415,0,0,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,9.3,7,2.51,3,0,589.3,323,60.629999999999995,6,6,6,6,6,6,5,7,5,5,5,6,6,6,4
OR,92,415,0,0,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,0,560.5,272,59.81999999999999,6,5,6,6,6,6,4,5,4,6,6,5,4,6,4
SD,87,510,0,0,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,0,553.6,283,57.940000000000005,6,5,6,5,7,5,5,5,5,7,7,5,5,5,4
NE,64,408,0,0,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,0,569.0,290,67.37,8,7,8,5,6,5,4,3,4,7,7,5,5,7,3
RI,80,510,0,0,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,0,649.2,302,66.99000000000001,6,8,6,8,4,8,5,6,5,5,5,7,5,7,4
MD,165,415,0,1,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,0,542.2,324,54.38,5,7,5,5,6,5,5,6,5,5,5,5,6,5,7
ID,153,415,0,1,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,0,625.9,323,60.7,5,7,5,7,6,7,5,6,5,4,4,6,6,6,7
SD,108,415,0,0,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2,0,692.7,271,71.57000000000001,7,5,7,7,7,7,6,4,6,3,3,7,4,7,5
NY,104,415,0,1,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,0,577.6999999999999,317,59.269999999999996,6,7,6,5,6,5,5,5,5,6,6,5,6,5,5
DE,115,408,0,0,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1,0,494.1,256,47.900000000000006,4,5,4,6,6,6,5,5,5,6,6,4,3,4,5
OK,87,415,0,0,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,0,507.59999999999997,306,55.49,6,7,6,3,8,3,5,3,5,7,7,4,6,5,4
IN,119,510,0,0,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,0,542.4,364,54.49,5,8,5,6,6,6,5,8,5,7,7,5,8,5,5
NV,69,415,0,0,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,0,617.9,334,57.95,5,7,5,6,7,6,7,6,7,8,8,6,7,5,3
SD,93,510,0,0,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,1,792.0,312,84.67999999999999,10,7,10,5,6,5,8,6,8,5,5,9,6,9,4
OK,154,415,1,0,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,1,549.4,326,54.53,5,5,5,6,9,6,5,6,5,8,8,5,6,5,7
KS,57,415,0,1,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,0,647.3,309,68.14,6,5,6,8,8,8,4,6,4,6,6,7,6,7,3
IA,130,510,0,0,0,139.1,72,23.65,246.0,112,20.91,207.2,121,9.32,11.4,9,3.08,5,0,603.6999999999999,314,56.96,4,5,4,7,7,7,5,7,5,6,6,6,6,5,6
NJ,151,415,0,0,0,118.9,128,20.21,278.3,65,23.66,194.8,61,8.77,13.2,10,3.56,2,0,605.2,264,56.2,4,8,4,8,4,8,5,2,5,7,7,6,4,5,7
NJ,162,408,0,0,0,217.6,87,36.99,279.0,71,23.72,250.7,65,11.28,10.4,4,2.81,2,1,757.6999999999999,227,74.8,7,6,7,8,5,8,7,3,7,6,6,8,2,8,7
MT,60,415,0,0,0,145.0,133,24.65,209.1,92,17.77,328.5,112,14.78,14.6,2,3.94,1,0,697.2,339,61.14,5,9,5,6,6,6,9,6,9,8,8,7,7,6,3
IA,81,510,0,0,0,203.5,89,34.6,289.6,69,24.62,212.9,71,9.58,8.7,3,2.35,3,0,714.7,232,71.14999999999999,6,6,6,8,5,8,6,3,6,5,5,8,2,7,4
TX,136,408,0,0,0,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,1,766.2,321,79.64,8,7,8,7,6,7,7,6,7,6,6,9,6,8,6
MS,121,415,0,1,21,126.3,84,21.47,209.6,102,17.82,192.5,129,8.66,10.6,2,2.86,1,0,539.0,317,50.81,4,6,4,6,6,6,5,7,5,6,6,5,6,4,5
IA,105,510,0,1,15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,0,543.6,353,44.699999999999996,3,8,3,5,9,5,7,4,7,5,5,5,8,3,5
WI,105,415,0,1,34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,0,576.1999999999999,242,63.339999999999996,7,4,7,6,5,6,4,5,4,5,5,5,3,6,5
MT,51,415,0,1,26,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1,0,692.5,257,73.82,7,4,7,8,6,8,5,5,5,6,6,7,3,7,3
GA,64,408,0,0,0,124.1,117,21.1,192.8,108,16.39,162.9,84,7.33,6.4,5,1.73,3,0,486.19999999999993,314,46.55,4,8,4,6,7,6,4,4,4,4,4,4,6,4,3
MT,80,510,1,1,30,184.2,132,31.31,167.5,109,14.24,212.8,114,9.58,10.0,10,2.7,0,0,574.5,365,57.83,6,8,6,5,7,5,6,6,6,5,5,5,8,5,4
ND,56,415,0,0,0,222.7,133,37.86,277.0,89,23.55,101.8,94,4.58,13.6,4,3.67,4,0,615.1,320,69.66,7,9,7,8,6,8,3,5,3,7,7,6,6,7,3
VT,120,415,0,0,0,149.2,98,25.36,193.6,88,16.46,248.9,119,11.2,11.1,5,3.0,1,0,602.8,310,56.019999999999996,5,6,5,6,6,6,7,7,7,6,6,6,6,5,5
SD,103,510,0,0,0,206.5,125,35.11,180.2,113,15.32,220.6,95,9.93,12.2,4,3.29,3,0,619.5,337,63.65,6,8,6,5,7,5,6,5,6,7,7,6,7,6,5
OH,164,510,0,1,27,159.7,102,27.15,168.8,113,14.35,244.1,127,10.98,9.6,9,2.59,3,0,582.2,351,55.07000000000001,5,7,5,5,7,5,6,7,6,5,5,5,8,5,7
OH,116,415,0,1,27,204.7,118,34.8,209.4,91,17.8,212.9,67,9.58,7.0,2,1.89,2,0,634.0,278,64.07,6,8,6,6,6,6,6,3,6,4,4,6,4,6,5
MT,121,408,0,0,0,213.2,79,36.24,120.7,116,10.26,244.4,102,11.0,7.5,4,2.03,1,0,585.8,301,59.53,7,5,7,4,7,4,6,5,6,4,4,6,5,5,5
NV,183,415,0,0,0,116.7,92,19.84,213.8,112,18.17,214.3,112,9.64,9.7,6,2.62,2,0,554.5,322,50.27,4,6,4,6,7,6,6,6,6,5,5,5,6,4,8
UT,104,408,0,0,0,263.4,101,44.78,235.5,117,20.02,102.0,146,4.59,13.0,4,3.51,0,0,613.9,368,72.9,8,7,8,7,7,7,3,8,3,7,7,6,8,7,5
NH,90,408,0,0,0,140.2,97,23.83,213.9,102,18.18,120.0,126,5.4,7.1,2,1.92,1,0,481.20000000000005,327,49.33,4,6,4,6,6,6,3,7,3,4,4,4,7,4,4
LA,82,415,0,0,0,197.7,101,33.61,127.6,83,10.85,142.1,103,6.39,13.5,3,3.65,1,0,480.9,290,54.5,6,7,6,4,5,4,4,5,4,7,7,4,5,5,4
NY,9,415,0,1,16,88.5,87,15.05,178.8,108,15.2,228.7,96,10.29,11.5,3,3.11,2,0,507.5,294,43.65,3,6,3,5,7,5,6,5,6,6,6,4,5,3,1
CT,97,415,0,0,0,215.3,58,36.6,242.4,91,20.6,279.8,105,12.59,12.1,9,3.27,0,0,749.6,263,73.06,7,4,7,7,6,7,7,6,7,7,7,8,4,7,4
